SMILES,WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0016209,GO:0098869,GO:0072593,GO:0006281
C1CN(C2=CC=CC=C21)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC(=C(C=C3)F)F,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC=CC=C3F,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC3=NC4=C(C=CC=C4N3)C5=CC=CC=C5,1,0,0,0,0,0,0,0,0,0
CC1=C2C=C(C(=O)N(C2=NC(=N1)NC)C3CCCC3)C4=CN=C(N4)C,1,0,0,0,0,0,0,0,0,0
CC1=CC=CC=C1NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3,1,0,0,0,0,0,1,0,0,0
C[C@@H](C1CC1)N2CC3=C(C2=O)C(=CC(=C3)C4=NC5=C(C(=NN5C=C4)N)C6=CC(=C(C=C6)C(=O)O)C(C)C)C(F)(F)F,1,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=C(N(C(=O)NC1C2=CC=CC=C2)C)CSC3=NC4=C(N3)C=C(C=C4)[N+](=O)[O-],1,0,0,0,0,0,0,0,0,0
C1=CC(=C(C=C1Cl)C2=C(C(=O)NC3=C2C(=CC(=C3)Cl)Cl)O)O,1,0,0,0,0,0,1,1,0,0
C1CCC(=C2CCC3=C(C4=CC=CC=C4N=C23)C(=O)O)C1,1,0,0,0,0,0,1,1,0,0
CC1=CC2=C(C=C1)NC(=O)C(=C2)COC(=O)C,1,0,0,0,0,0,1,0,0,0
C1CN(C2=CC=CC(=C21)C3=CC=NC=C3)C(=O)CC4=NC(=CC(=O)N4)N5CCOCC5,1,0,0,0,0,0,1,0,0,0
C1=CC=C2C(=C1)C(=C(N2)C3=CC=CC=N3)/C=C\4/C(=O)C5=C(C=C(C=C5O4)O)O,1,0,0,0,0,0,0,0,0,0
C1=CC=C2C=C(C=CC2=C1)C3=C(C4=CC=CC=C4N3)/C=C\5/C(=O)C6=C(C=C(C=C6O5)O)O,1,0,0,0,0,0,0,0,0,0
C1C=CCC2C1C(=O)N(C2=O)C3=CC(=C(C=C3)NCC4=CN=CC=C4)C(=O)O,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=C(C=C(C=C3)F)F,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC(=CC=C3)Br,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC(=CC=C3)Cl,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC(=CC=C3)F,1,0,0,0,0,0,1,0,0,0
CC1=C2C=C(C(=O)N(C2=NC(=N1)N)C3CCC(CC3)O)C4=CNN=C4,1,0,0,0,0,0,0,0,0,0
CC1=CC(=CC=C1)NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3,1,0,0,0,0,0,1,0,0,0
CC1=CC=C(C=C1)CN(CC2=CC3=C(C=CC(=C3)C)NC2=O)C(=O)N4CCOCC4,1,0,0,0,0,0,1,0,0,0
CC1=C2C=C(C(=O)N(C2=NC(=N1)N)C(C)C)C3=CNN=C3,1,0,0,0,0,0,0,0,0,0
CC1=CC(=O)NC(=N1)SCC(=O)NC2=CC(=CC(=C2)C(=O)OC)C(=O)OC,1,0,0,0,0,0,1,0,0,0
CCN1C(=O)C(=CC2=C(C)N=C(N)N=C12)C1=CC=NN1,1,0,0,0,0,0,1,0,0,0
CCN1C2=NC(=NC(=C2C=C(C1=O)C3=CC=NN3)C)N,1,0,0,0,0,0,0,0,0,0
C1CN(C2=C1C(=CC=C2)OC(F)(F)F)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,1,0,0,0,0,0,1,0,0,0
C1=CC(=CC=C1C2=C(C(=O)NC3=C2C=C(C=C3)F)C(=O)/C=C/C4=NC5=CC(=C(C=C5N4)F)F)F,1,0,0,1,0,0,1,1,0,0
C1CN(C2=C1C(=CC=C2)Br)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC3=NC4=C(C=CC=C4O3)C5=CC=CC=C5,1,0,0,0,0,0,0,0,0,0
CC(C)C(C1=NC(=CC(=O)N1)N2CCOCC2)C(=O)NC3=CC=C(C=C3)F,1,0,0,0,0,0,1,0,0,0
